Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
0.000;1.50;0.00;20.39;2.00;0.80;0.20;1
0.109;1.50;0.00;100.00;2.00;0.80;0.20;1
0.203;1.50;0.00;100.00;2.00;0.80;0.20;1
0.312;1.50;0.00;100.00;2.00;0.80;0.20;1
0.406;1.50;0.00;100.00;2.00;0.80;0.20;1
0.515;1.50;0.09;100.00;2.00;0.80;0.20;1
0.609;1.50;0.37;94.90;2.00;0.80;0.20;1
0.702;1.50;0.72;71.37;2.00;0.80;0.20;1
0.811;1.50;1.07;60.78;2.00;0.80;0.20;1
0.905;1.50;1.29;58.04;2.00;0.80;0.20;1
1.014;1.50;1.52;48.24;2.00;0.80;0.20;1
1.108;1.50;1.71;36.86;2.00;0.80;0.20;1
1.201;1.50;1.81;38.43;2.00;0.80;0.20;1
1.311;1.50;1.85;42.35;2.00;0.80;0.20;1
1.404;1.50;1.84;46.67;2.00;0.80;0.20;1
1.513;1.50;1.80;49.41;2.00;0.80;0.20;1
1.607;1.50;1.79;45.49;2.00;0.80;0.20;1
1.701;1.50;1.77;44.31;2.00;0.80;0.20;1
1.810;1.50;1.77;40.78;2.00;0.80;0.20;1
1.903;1.50;1.76;41.18;2.00;0.80;0.20;1
2.013;1.50;1.75;40.00;2.00;0.80;0.20;1
2.106;1.50;1.73;39.22;2.00;0.80;0.20;1
2.215;1.50;1.73;35.69;2.00;0.80;0.20;1
2.309;1.50;1.71;39.22;2.00;0.80;0.20;1
2.403;1.50;1.69;36.86;2.00;0.80;0.20;1
2.512;1.50;1.65;40.78;2.00;0.80;0.20;1
2.605;1.50;1.64;38.04;2.00;0.80;0.20;1
2.715;1.50;1.63;37.65;2.00;0.80;0.20;1
2.808;1.50;1.61;37.65;2.00;0.80;0.20;1
2.902;1.50;1.60;37.65;2.00;0.80;0.20;1
3.011;1.50;1.60;35.29;2.00;0.80;0.20;1
3.105;1.50;1.57;39.61;2.00;0.80;0.20;1
3.214;1.50;1.57;35.69;2.00;0.80;0.20;1
3.307;1.50;1.56;38.04;2.00;0.80;0.20;1
3.401;1.50;1.56;35.69;2.00;0.80;0.20;1
3.510;1.50;1.56;35.29;2.00;0.80;0.20;1
3.604;1.50;1.57;32.16;2.00;0.80;0.20;1
3.713;1.50;1.55;38.04;2.00;0.80;0.20;1
3.807;1.50;1.56;32.16;2.00;0.80;0.20;1
3.916;1.50;1.55;35.69;2.00;0.80;0.20;1
4.009;1.50;1.55;34.12;2.00;0.80;0.20;1
4.103;1.50;1.53;36.47;2.00;0.80;0.20;1
4.212;1.50;1.53;34.51;2.00;0.80;0.20;1
